Amount Debited,Source / Destination,Date
45.0,TOTAL HEALTH  FAMILY CAR,2022/10/07
5.0,MANILA BAKERYVARIETY,2022/10/07
5.66,LOBLAW RCSS 1080,2022/10/08
5.0,METRO  854,2022/10/08
15.94,BIG SMOKE BURGER,2022/10/08
11.86,CINNABON,2022/10/08
19.21,GRACE HAIR DESIGN AND BEA,2022/10/08
52.28,ESSO CIRCLE K,2022/10/09
9.04,TORONTO DON VALLEY HOTEL,2022/10/12
33.71,RCSS 1080,2022/10/13
3.0,TORONTO DON VALLEY HOTEL,2022/10/13
44.5,METRO  854,2022/10/14
20.95,BULK BARN 545 MISSISSA,2022/10/14
50.0,ESSO CIRCLE K,2022/10/15
23.1,3402  CARTERSOSHKOSH,2022/10/15
8.12,SALLY BEAUTY 5547,2022/10/15
116.3,RCSS 1080,2022/10/17
30.49,REXALL PHARMACY 2100,2022/10/17
24.79,WALMART STORE 3054,2022/10/18
39.54,REXALL PHARMACY 2100,2022/10/18
19.02,METRO  854,2022/10/20
22.08,PIZZA NOVA 065,2022/10/20
44.81,RCSS 1080,2022/10/20
47.29,MACS CONVENIENCE STORE,2022/10/21
15.82,HUDSONS BAY 1523,2022/10/22
9.22,BULK BARN 545 MISSISSA,2022/10/22
11.63,Subway 15423,2022/10/22
62.13,WINNERSHOMESENSE 361158,2022/10/23
112.97,RCSS 1080,2022/10/23
74.21,KID TO KID,2022/10/24
86.49,RCSS 1080,2022/10/25
20.25,METRO  854,2022/10/25
64.97,LOBLAW RCSS 1080,2022/10/26
46.12,ESSO CIRCLE K,2022/10/27
28.86,METRO  854,2022/10/28
24.49,BK 10100,2022/10/29
90.16,RCSS 1080,2022/10/30
17.71,METRO  854,2022/11/01
28.57,RCSS 1080,2022/11/01
42.24,KID TO KID,2022/11/02
17.85,3626  CARTERSOSHKOSH,2022/11/02
50.57,ESSO CIRCLE K,2022/11/03
12.98,METRO  854,2022/11/04
118.38,RCSS 1080,2022/11/04
20.06,METRO  854,2022/11/05
67.54,LOBLAW RCSS 1080,2022/11/06
16.6,PIZZA NOVA 065,2022/11/07
22.93,METRO  854,2022/11/08
117.21,RCSS 1080,2022/11/08
24.92,HARVEYS 0002353 QPS,2022/11/09
167.0,BLUERIDGE OMS XXXXXXXX,2022/11/09
32.83,ESSO CIRCLE K,2022/11/09
14.13,METRO  854,2022/11/11
11.29,BULK BARN 545 MISSISSA,2022/11/11
25.2,3665 CARTERSOSHKOSH,2022/11/12
12.11,SHANGHAI 360,2022/11/12
20.91,CLAIRES 2587,2022/11/12
6.47,CINNABON,2022/11/12
26.25,WALMART STORE 3055,2022/11/12
7.33,Subway 25330,2022/11/12
155.79,RCSS 1080,2022/11/13
6.65,METRO  854,2022/11/14
45.24,DOLLARAMA  840,2022/11/15
20.5,METRO  854,2022/11/15
45.0,ESSO CIRCLE K,2022/11/16
15.8,THAI EXPRESS HAI018,2022/11/18
5.59,STARBUCKS 16201,2022/11/18
57.89,KID TO KID,2022/11/19
23.71,CLORE BEAUTY SUPPLY,2022/11/19
1.56,TIM HORTONS 2562,2022/11/21
10.15,TIM HORTONS 3253,2022/11/21
31.59,CDN TIRE STORE 00169,2022/11/21
79.24,RCSS 1080,2022/11/22
131.76,RCSS 1080,2022/11/23
49.2,ESSO CIRCLE K,2022/11/25
23.16,METRO  854,2022/11/25
39.38,METRO  854,2022/11/27
27.12,WINNERSHOMESENSE 361158,2022/11/27
27.45,REXALL PHARMACY 2100,2022/11/27
252.10999999999999,RCSS 1080,2022/11/27
126.7,RCSS 1080,2022/11/30
56.49,MARSHALLS 661,2022/11/30
250.0,ESSO CIRCLE K,2022/12/01
16.6,PIZZA NOVA 065,2022/12/01
15.09,METRO  854,2022/12/02
18.64,METRO  854,2022/12/05
17.1,METRO  854,2022/12/06
22.91,RCSS 1080,2022/12/08
16.6,PIZZA NOVA 065,2022/12/09
27.42,WALMART STORE 3054,2022/12/11
43.22,DOLLARAMA  840,2022/12/11
46.11,ESSO CIRCLE K,2022/12/11
19.05,METRO  854,2022/12/11
111.7,180 MARKS,2022/12/12
61.7,RCSS 1080,2022/12/13
15.82,ESSO CIRCLE K,2022/12/13
114.97,RCSS 1080,2022/12/15
1.99,LOBLAW RCSS 1080,2022/12/15
15.36,RCSS 1080,2022/12/16
14.67,POPEYES 11615,2022/12/16
14.65,THE BEER STORE 2011,2022/12/16
48.58,TOYS R US 3575,2022/12/17
12.33,3402  CARTERSOSHKOSH,2022/12/17
39.72,WALMART STORE 3054,2022/12/17
67.77,MARSHALLS 661,2022/12/17
146.27,RCSS 1080,2022/12/17
28.24,WINNERSHOMESENSE 361158,2022/12/17
71.03,RCSS 1080,2022/12/19
49.09,MINHA HALAL MEAT,2022/12/21
45.4,ESSO CIRCLE K,2022/12/22
19.54,PIZZA NOVA 065,2022/12/22
26.61,METRO  854,2022/12/23
28.59,MINHA HALAL MEAT,2022/12/23
7.59,LOBLAW RCSS 1080,2022/12/24
53.37,180 MARKS,2022/12/26
36.14,CDN TIRE STORE 00169,2022/12/26
66.45,MAC Square One Shoppin,2022/12/26
50.05,OLD NAVY CA 5461,2022/12/26
66.68,RCSS 1080,2022/12/27
12.27,METRO  854,2022/12/28
9.55,METRO  854,2022/12/30
17.01,RCSS 1080,2022/12/30
2.0,MEADOWVALE LIBRARY BRANCH,2022/12/31
78.24,RCSS 1080,2023/01/02
14.58,METRO  854,2023/01/02
39.86,RCSS 1080,2023/01/03
15.0,ESSO CIRCLE K,2023/01/03
6.82,METRO  854,2023/01/04
18.65,YOUR DOLLAR STORE WITH MO,2023/01/04
17.22,RCSS 1080,2023/01/05
33.39,METRO  854,2023/01/06
40.0,ESSO CIRCLE K,2023/01/07
56.5,Uniqlo Canada POSCASQ1,2023/01/07
1.13,DOLLARAMA  840,2023/01/07
146.32,LOBLAW RCSS 1080,2023/01/07
6.8,METRO  854,2023/01/09
69.66,RCSS 1080,2023/01/09
19.82,PIZZA NOVA 065,2023/01/10
27.42,METRO  854,2023/01/11
15.93,METRO  854,2023/01/12
42.99,METRO  854,2023/01/13
25.0,ESSO CIRCLE K,2023/01/14
31.46,DANFORTH FOOD MARKET,2023/01/14
133.83,WALMART STORE 3054,2023/01/14
180.18,LOBLAW RCSS 1080,2023/01/15
13.56,WATCH WORKS,2023/01/15
9.92,TIM HORTONS 4881,2023/01/16
20.52,METRO  854,2023/01/17
15.26,DOLLARAMA  840,2023/01/19
11.1,RCSS 1080,2023/01/19
29.59,ESSO CIRCLE K,2023/01/19
10.04,METRO  854,2023/01/20
78.87,LOBLAW RCSS 1080,2023/01/21
6.28,WISLA DELICATESSEN,2023/01/21
31.78,METRO  854,2023/01/22
33.65,CDN TIRE STORE 00169,2023/01/22
9.71,METRO  854,2023/01/23
52.9,ESSO CIRCLE K,2023/01/24
19.82,PIZZA NOVA 065,2023/01/25
34.84,RCSS 1080,2023/01/26
13.53,METRO  854,2023/01/27
133.97,RCSS 1080,2023/01/28
130.77,RCSS 1080,2023/01/29
8.48,DOLLARAMA  840,2023/01/29
2.0,AIR SERV A PS606518,2023/01/30
14.49,RCSS 1080,2023/02/01
37.32,RCSS 1080,2023/02/02
139.57,RCSS 1080,2023/02/03
84.93,VALERIOS,2023/02/05
60.33,RCSS 1080,2023/02/05
29.74,METRO  854,2023/02/05
16.83,PIZZA NOVA 065,2023/02/07
60.44,RCSS 1080,2023/02/08
18.02,METRO  854,2023/02/10
105.28,RCSS 1080,2023/02/11
145.09,RCSS 1080,2023/02/12
63.25,METRO  854,2023/02/14
